"observationDate","stateProvince","decimalLatitude","decimalLongitude","scientificName","vernacularName","dataResourceName","basisOfRecord","recordID"
2015-04-02,"New South Wales",-33.91,150.92,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","b748da4a-a283-4f9d-96c7-b45bfc565601"
2013-11-06,"Australian Capital Territory",-35.3,149.1,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","4f2c7df8-d472-4330-9b72-158433f4993f"
2013-05-07,"Victoria",-37.842608,144.963502,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","69128ff3-f603-4966-9f79-6f16126e9439"
2017-03-24,"New South Wales",-34.068867,150.791516,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","559486a2-ece4-4e68-ba75-dfa4af1cea33"
2013-03-30,"Victoria",-37.786436,145.123922,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","5e3f8050-4518-4429-88fb-4ab034e9b718"
2008-05-02,"New South Wales",-33.08,150.25,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","a57f482b-83f1-48fb-afb6-b8b7c35144b1"
2004-06-01,"New South Wales",-33.08,151.42,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","8b445e45-da3f-41c2-a31b-2a797d9e9612"
2004-05-20,"New South Wales",-34.58,148.08,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","b4681fce-c6ba-40dc-9f60-066eaddb436f"
2007-06-05,"New South Wales",-33.25,151.58,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","34ebd2c8-b4af-47e0-8e1e-a36e17a93c2e"
2005-06-24,"New South Wales",-32.83,151.42,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","f580d6e1-186d-4063-b288-a9a976e9d93e"
2007-05-19,"New South Wales",-33.08,151.42,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","72b4abe4-4a78-4ec0-bf6e-8f56699dbdfd"
2009-05-17,"New South Wales",-32.92,151.25,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","6369e6ed-2557-4e07-9fe4-95e756b6094c"
2005-07-24,"New South Wales",-33.08,150.25,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","90389811-3f21-43de-847e-b20e18cc0a8b"
2008-09-05,"New South Wales",-36.25,150.08,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","5755a5b3-fd05-4e82-b6f1-88d1ff351814"
2007-05-26,"New South Wales",-30.25,153.08,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","197df0f2-4e31-4aff-a4b3-a840d2b10bfd"
2007-05-19,"New South Wales",-33.42,151.42,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","e8c1ed3f-a120-416b-890d-089965a8b188"
2005-05-03,"New South Wales",-32.92,151.25,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","1f31124d-fbae-4f9f-bf4a-73992c978985"
2007-08-19,"New South Wales",-32.75,151.42,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","67e16aa2-cf3d-46a3-aec7-c06ad178ce49"
2008-08-03,"New South Wales",-30.33,151.5,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","8a207478-2867-45a0-9d90-b095059fa272"
2007-04-23,"New South Wales",-35.25,149.25,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","0eebde8a-fb94-457c-9f5b-7c5cd73ab9df"
2004-08-02,"New South Wales",-33.25,151.25,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","e96aef19-c0c9-442a-8259-0e2412a725e6"
2007-08-04,"New South Wales",-32.92,151.42,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","348e0ae9-5b49-4034-9d70-3ae5200017bc"
2004-08-21,"New South Wales",-33.25,151.58,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","1466bf71-1dd7-42b1-b3c7-b50abe78d458"
2007-05-27,"New South Wales",-30.32,151.7,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","7eab2ad4-9b32-479e-b149-3bc6be8a11d0"
2008-04-28,"New South Wales",-33.25,151.42,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","db1d4e38-d31b-45db-bc5b-1c31bf4eacbe"
2004-06-15,"New South Wales",-32.92,150.92,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","020e1070-5ee2-4f8e-a586-d6b05d2c28e0"
2005-06-24,"New South Wales",-32.92,151.42,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","fb57fa9c-9af7-4c7a-8630-a5cc1a61dc3a"
2007-04-16,"New South Wales",-36.92,149.92,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","0340d6ee-9982-43a9-9004-89fc858f5162"
2005-06-18,"New South Wales",-32.92,151.42,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","811585ee-554d-40dc-90a9-02c283007a58"
2009-06-24,"New South Wales",-36.25,150.08,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","71206ffa-2575-4237-9484-b4ec48068551"
2009-08-19,"New South Wales",-32.92,151.42,"Lathamus discolor","Swift Parrot","New South Wales Bird Atlassers","HUMAN_OBSERVATION","d126d8b2-6de8-4ba7-97f1-cd1b5a7b1f85"
